Season,Correlation
1997,-0.015020505923221721
1998,0.045706980301085845
1999,-0.11965528626624986
2000,0.028727418879704123
2001,-0.0173436634050666
2002,0.08399160742814533
2003,0.0436054546200543
2004,-0.04569375137912734
2005,-0.02014938019648132
2006,-0.04626474468954995
2007,-0.10342254176904364
2008,-0.036405779913974985
2009,-0.004234684621467572
2010,-0.038923008851499595
2011,-0.10639327372590861
2012,-0.1550476023614711
2013,-0.09770716557444745
2014,0.0008550566553601986
2015,-0.05947070184450488
2016,-0.044219797254170405
2017,-0.018159576127299314
2018,-0.07232198904809689
2019,-0.15582764992537834
2020,-0.17429966565316846
2021,-0.05657373983445095
