,player_name,player_height,Pos,3P%,3PA,Season
2,Randy Livingston,193.04,PG,0.345,0.7,1999
3,Randy Livingston,193.04,PG,0.0,0.5,2000
4,Randy Livingston,193.04,PG,0.125,0.6,2001
6,Randy Livingston,193.04,PG,0.0,0.8,2003
7,Randy Livingston,193.04,PG,0.625,0.5,2004
10,George Lynch,203.2,SF,0.3,0.4,1997
11,George Lynch,203.2,SF,0.391,0.5,1998
12,George Lynch,203.2,SF,0.417,0.5,1999
13,George Lynch,203.2,SF,0.263,0.7,2000
15,George Lynch,203.2,SG,0.354,1.0,2002
16,George Lynch,203.2,SF,0.309,1.8,2003
17,George Lynch,203.2,SF,0.297,0.8,2004
18,George McCloud,203.2,SF,0.341,3.3,1997
19,George McCloud,203.2,SF,0.416,3.5,1998
20,George McCloud,203.2,SF,0.378,3.6,1999
21,George McCloud,203.2,SF,0.329,3.1,2000
22,George McCloud,203.2,SF,0.27,3.2,2001
23,Gerald Wilkins,198.12,SG,0.266,1.5,1997
25,Glen Rice,203.2,SF,0.433,3.7,1997
26,Glen Rice,203.2,SF,0.393,5.0,1998
27,Glen Rice,203.2,SF,0.367,2.9,1999
28,Glen Rice,203.2,SF,0.389,2.8,2000
29,Glen Rice,203.2,SF,0.281,3.2,2001
30,Glen Rice,203.2,SF,0.398,4.1,2002
31,Glen Rice,203.2,SF,0.179,1.6,2003
32,Glenn Robinson,200.66,SF,0.385,1.2,1997
33,Glenn Robinson,200.66,SF,0.392,1.7,1998
34,Glenn Robinson,200.66,SF,0.363,2.9,1999
35,Glenn Robinson,200.66,SF,0.299,2.4,2000
36,Glenn Robinson,200.66,SF,0.326,2.7,2001
37,Glenn Robinson,200.66,SF,0.342,3.8,2002
38,Glenn Robinson,200.66,SF,0.34,2.4,2003
39,Glenn Robinson,200.66,SF,0.333,0.7,2004
40,Gary Trent,203.2,PF,0.333,0.2,1997
41,Gary Trent,203.2,PF,0.444,0.2,1997
42,Gary Trent,203.2,PF,0.0,0.2,1997
44,Gary Trent,203.2,SF,0.0,0.2,1999
50,Grant Long,205.74,PF,0.167,0.4,1998
52,Grant Long,205.74,PF,0.267,0.2,2000
53,Grant Long,205.74,PF,0.176,0.3,2001
55,Greg Anthony,185.42,PG,0.415,2.0,1997
56,Greg Anthony,185.42,PG,0.392,2.5,1998
57,Greg Anthony,185.42,PG,0.378,2.8,1999
58,Greg Anthony,185.42,PG,0.409,2.7,2000
59,Greg Anthony,185.42,PG,0.294,2.7,2001
60,Greg Anthony,185.42,PG,0.322,2.5,2001
61,Greg Anthony,185.42,PG,0.26,3.0,2001
64,Greg Foster,210.82,PF,0.2,0.3,1999
66,Greg Foster,210.82,PF,0.0,0.7,2001
68,Greg Graham,193.04,SG,0.0,0.5,1997
69,Greg Minor,198.12,SG,0.194,0.4,1997
70,Greg Minor,198.12,SG,0.286,0.6,1998
82,Haywoode Workman,187.96,PG,0.362,1.6,1998
83,Haywoode Workman,187.96,PG,0.326,1.2,1999
84,Haywoode Workman,187.96,PG,0.379,1.3,1999
85,Haywoode Workman,187.96,PG,0.214,1.1,1999
87,Gary Grant,190.5,PG,0.368,0.9,1997
91,Eldridge Recasner,193.04,SG,0.419,2.5,1997
92,Eldridge Recasner,193.04,PG,0.4,1.4,1998
93,Eldridge Recasner,193.04,PG,0.25,0.6,1999
94,Eldridge Recasner,193.04,PG,0.333,0.9,2000
95,Eldridge Recasner,193.04,PG-SG,0.0,0.2,2001
97,Eldridge Recasner,193.04,PG,0.0,0.2,2001
98,Elliot Perry,182.88,PG,0.34,0.6,1997
99,Elliot Perry,182.88,PG,0.417,0.7,1998
101,Elliot Perry,182.88,PG,0.391,0.8,1998
102,Elliot Perry,182.88,PG,0.282,0.7,1999
104,Elliot Perry,182.88,PG,0.0,0.2,2000
107,Emanual Davis,195.58,PG,0.375,1.6,1997
108,Emanual Davis,195.58,PG,0.301,1.9,1999
109,Emanual Davis,195.58,SG,0.394,2.0,2000
110,Emanual Davis,195.58,PG,0.341,3.0,2001
111,Emanual Davis,195.58,SG,0.241,1.2,2002
121,Eric Murdock,185.42,PG,0.308,1.1,1997
122,Eric Murdock,185.42,PG,0.364,1.5,1998
123,Eric Murdock,185.42,PG,0.381,1.1,1999
124,Eric Piatkowski,200.66,SG,0.409,3.9,1997
125,Eric Piatkowski,200.66,SG,0.394,3.4,1998
126,Eric Piatkowski,200.66,SF,0.383,3.2,1999
127,Eric Piatkowski,200.66,SG,0.404,3.7,2000
128,Eric Piatkowski,200.66,SG,0.466,3.4,2001
129,Eric Piatkowski,200.66,SG,0.398,3.2,2002
130,Eric Piatkowski,200.66,SF,0.352,2.5,2003
131,Eric Piatkowski,200.66,SG,0.425,2.0,2004
132,Eric Piatkowski,200.66,SG,0.273,1.1,2005
133,Eric Piatkowski,200.66,SG,0.389,1.6,2006
134,Eric Piatkowski,200.66,SF,0.423,1.6,2007
135,Eric Snow,190.5,PG,0.118,0.3,1997
137,Eric Snow,190.5,PG,0.125,0.3,1997
138,Eric Snow,190.5,PG,0.238,0.4,1998
139,Eric Snow,190.5,PG,0.244,0.5,1999
140,Eric Snow,190.5,PG,0.263,0.4,2000
141,Eric Snow,190.5,PG,0.111,0.4,2001
142,Eric Snow,190.5,PG,0.219,0.4,2002
143,Eric Snow,190.5,PG,0.111,0.2,2003
144,Eric Snow,190.5,SG,0.289,0.6,2004
149,Eric Williams,203.2,SF,0.231,0.7,1998
150,Eric Williams,203.2,SF,0.347,1.1,1999
151,Eric Williams,203.2,SF,0.331,1.7,2000
152,Eric Williams,203.2,SF,0.279,1.2,2001
153,Eric Williams,203.2,SF,0.336,1.3,2002
154,Eric Williams,203.2,SF,0.276,1.8,2003
155,Eric Williams,203.2,SF,0.344,1.5,2003
156,Eric Williams,203.2,SF,0.253,1.9,2003
157,Eric Williams,203.2,SG,0.384,1.3,2004
158,Eric Williams,203.2,SG,0.425,1.9,2004
159,Eric Williams,203.2,SG,0.333,1.0,2004
160,Eric Williams,203.2,SF,0.278,0.6,2005
161,Eric Williams,203.2,SF,0.421,0.9,2006
162,Eric Williams,203.2,SF,0.471,1.1,2006
163,Eric Williams,203.2,SF,0.0,0.4,2006
179,Erick Strickland,190.5,SG,0.294,2.4,1997
180,Erick Strickland,190.5,SG,0.305,1.8,1998
181,Erick Strickland,190.5,SG,0.392,2.7,1999
182,Erick Strickland,190.5,PG,0.316,1.9,2000
183,Erick Strickland,190.5,PG,0.34,1.7,2000
184,Erick Strickland,190.5,PG,0.292,2.2,2000
185,Erick Strickland,190.5,PG,0.385,3.1,2001
186,Erick Strickland,190.5,SG,0.388,2.3,2002
187,Erick Strickland,190.5,PG,0.439,1.5,2003
188,Erick Strickland,190.5,SG,0.253,1.3,2004
203,Fred Hoiberg,193.04,SG,0.376,1.3,1997
204,Fred Hoiberg,193.04,SG,0.111,0.8,1998
205,Fred Hoiberg,193.04,SG,0.34,3.0,1999
206,Fred Hoiberg,193.04,SG,0.412,3.4,2000
207,Fred Hoiberg,193.04,SG,0.261,1.2,2001
208,Fred Hoiberg,193.04,SG,0.238,0.3,2002
209,Fred Hoiberg,193.04,SG,0.442,2.2,2003
210,Fred Hoiberg,193.04,SG,0.483,1.9,2004
211,Henry James,203.2,PF,0.44,0.9,1997
247,Jerry Stackhouse,198.12,SG-SF,0.241,2.5,1997
248,Jerry Stackhouse,198.12,SF,0.348,2.1,1997
249,Jerry Stackhouse,198.12,SG,0.208,2.6,1997
250,Jerry Stackhouse,198.12,SG,0.278,3.0,1998
251,Jerry Stackhouse,198.12,SG,0.288,3.5,1999
252,Jerry Stackhouse,198.12,SG,0.351,5.9,2000
253,Jerry Stackhouse,198.12,SF,0.287,3.9,2001
254,Jerry Stackhouse,198.12,SG,0.29,3.5,2002
255,Jerry Stackhouse,198.12,SF,0.354,2.5,2003
256,Jerry Stackhouse,198.12,SG,0.267,2.1,2004
257,Jerry Stackhouse,198.12,SG,0.277,2.4,2005
258,Jerry Stackhouse,198.12,SF,0.383,2.4,2006
259,Jerry Stackhouse,198.12,SG,0.326,3.2,2007
260,Jerry Stackhouse,198.12,SG,0.158,1.9,2008
261,Jerry Stackhouse,198.12,SG,0.346,3.1,2009
262,Jerry Stackhouse,198.12,SG,0.25,0.6,2010
263,Jerry Stackhouse,198.12,SF,0.342,1.3,2011
264,Jerry Stackhouse,198.12,SF,0.337,2.4,2012
265,Jim Jackson,198.12,SG,0.319,2.4,1997
266,Jim Jackson,198.12,SG,0.348,2.3,1997
267,Jim Jackson,198.12,SG,0.278,2.5,1997
268,Jim Jackson,198.12,SG,0.278,1.8,1998
269,Jim Jackson,198.12,SF,0.386,3.8,1999
270,Jim Jackson,198.12,SF,0.325,1.4,2000
271,Jim Jackson,198.12,SF,0.421,2.2,2000
272,Jim Jackson,198.12,SF,0.238,1.1,2000
273,Jim Jackson,198.12,SF,0.469,1.5,2001
274,Jim Jackson,198.12,SF,0.451,1.1,2002
275,Jim Jackson,198.12,SF,0.4,5.1,2003
276,Jim Jackson,198.12,SF,0.414,4.6,2004
277,Jim Jackson,198.12,SF,0.367,6.1,2004
278,Jim Jackson,198.12,SF,0.459,3.7,2004
279,Jim Jackson,198.12,SF,0.243,1.9,2005
280,Jim Jackson,198.12,SF,0.222,2.3,2005
281,Jim Jackson,198.12,SF,0.364,0.8,2005
286,Jimmy Oliver,195.58,SG,0.5,2.0,1997
288,Jerome Kersey,200.66,SF,0.1,0.3,1997
289,Jerome Kersey,200.66,SF,0.214,0.3,1998
295,Joe Stephens,200.66,SF,0.3,1.4,1997
296,Joe Stephens,200.66,SF,0.0,0.6,1999
297,Joe Wolf,210.82,PF,0.2,0.2,1997
299,John Crotty,187.96,PG,0.3,0.8,1997
300,John Crotty,187.96,PG,0.389,1.3,1998
302,John Crotty,187.96,PG,0.371,1.5,1998
303,John Crotty,187.96,PG,0.413,1.2,1999
304,John Crotty,187.96,PG,0.571,0.2,2000
305,John Crotty,187.96,PG,0.449,1.7,2001
306,John Crotty,187.96,PG,0.308,1.1,2002
307,John Starks,195.58,SG,0.327,4.9,1997
308,John Starks,195.58,SG,0.29,5.4,1998
309,John Starks,195.58,SG,0.345,4.6,1999
310,John Starks,195.58,SG,0.348,4.9,1999
311,John Starks,195.58,SG,0.3,2.5,1999
312,John Starks,195.58,SG,0.352,2.4,2000
313,John Starks,195.58,SG,0.305,1.4,2001
317,John Wallace,205.74,SF,0.133,0.4,2000
318,John Wallace,205.74,SF,0.385,0.3,2001
319,John Wallace,205.74,SF,0.385,0.4,2003
320,Johnny Newman,200.66,SF,0.343,1.4,1997
321,Johnny Newman,200.66,SF,0.377,1.2,1998
322,Johnny Newman,200.66,SF,0.379,2.3,1999
323,Johnny Newman,200.66,SG,0.335,2.1,2000
324,Johnny Newman,200.66,SF,0.386,1.2,2001
325,Jon Barry,195.58,SG,0.37,2.4,2003
326,Jon Barry,195.58,SG,0.43,2.4,2004
327,Jon Barry,195.58,SG,0.344,2.0,2004
328,Jon Barry,195.58,SG,0.451,2.5,2004
329,Jon Barry,195.58,SG,0.375,1.6,2005
358,Jermaine O'Neal,210.82,PF,0.071,0.2,2001
359,Jermaine O'Neal,210.82,PF,0.333,0.3,2002
360,Jermaine O'Neal,210.82,PF,0.111,0.2,2003
362,Jermaine O'Neal,210.82,PF,0.3,0.2,2005
373,Jeff McInnis,193.04,PG,0.257,1.0,1998
374,Jeff McInnis,193.04,PG,0.333,0.8,1999
375,Jeff McInnis,193.04,PG,0.361,1.8,2000
376,Jeff McInnis,193.04,PG,0.321,2.9,2001
377,Jeff McInnis,193.04,PG,0.171,0.5,2002
378,Jeff McInnis,193.04,SG-PG,0.362,1.8,2003
379,Jeff McInnis,193.04,SG,0.319,1.2,2003
380,Jeff McInnis,193.04,PG,0.388,2.6,2003
381,Jeff McInnis,193.04,PG,0.345,3.5,2004
382,Jeff McInnis,193.04,SG,0.188,0.6,2005
383,Jeff McInnis,193.04,PG,0.125,0.2,2006
384,Jeff McInnis,193.04,PG,0.158,0.4,2007
385,Horacio Llamas,210.82,C,0.333,0.4,1997
388,Howard Eisley,187.96,PG,0.407,1.4,1997
389,Howard Eisley,187.96,PG,0.42,1.0,1998
390,Howard Eisley,187.96,PG,0.368,2.0,1999
391,Howard Eisley,187.96,SG,0.398,3.3,2000
392,Howard Eisley,187.96,PG,0.241,1.5,2001
393,Howard Eisley,187.96,PG,0.389,4.1,2002
394,Howard Eisley,187.96,PG,0.319,2.4,2003
395,Howard Eisley,187.96,PG,0.329,2.6,2003
396,Howard Eisley,187.96,PG,0.308,2.3,2003
397,Howard Eisley,187.96,PG,0.262,1.4,2004
398,Howard Eisley,187.96,PG,0.31,1.3,2005
399,Howard Eisley,187.96,PG,0.25,0.3,2005
400,Howard Eisley,187.96,PG,0.316,2.0,2005
401,Hubert Davis,195.58,SG,0.439,2.8,1997
402,Hubert Davis,195.58,SG,0.451,2.9,1998
403,Hubert Davis,195.58,PG,0.491,2.1,1999
404,Hubert Davis,195.58,PG,0.456,2.6,2000
405,Hubert Davis,195.58,PG,0.436,2.6,2000
406,Hubert Davis,195.58,PG,0.526,2.5,2000
407,Hubert Davis,195.58,SG,0.452,2.5,2001
408,Hubert Davis,195.58,SG,0.333,0.8,2002
410,Hubert Davis,195.58,SG,0.0,0.3,2003
412,Isaiah Rider,195.58,SG,0.321,5.7,1997
413,Isaiah Rider,195.58,SG,0.378,2.4,1998
414,Isaiah Rider,195.58,SG,0.311,3.0,1999
415,Isaiah Rider,195.58,SG,0.37,1.4,2000
416,Isaiah Rider,195.58,SG,0.4,1.5,2001
419,Jalen Rose,203.2,SF,0.342,0.9,1997
420,Jalen Rose,203.2,SF,0.262,1.3,1998
421,Jalen Rose,203.2,SF,0.393,2.5,1999
422,Jalen Rose,203.2,SF,0.339,2.4,2000
423,Jalen Rose,203.2,SF,0.362,3.0,2001
424,Jalen Rose,203.2,SF,0.356,2.8,2001
425,Jalen Rose,203.2,SF,0.37,3.3,2001
426,Jalen Rose,203.2,SF,0.37,4.4,2002
427,Jalen Rose,203.2,PG-SF,0.342,3.1,2003
428,Jalen Rose,203.2,SF,0.426,3.4,2003
429,Jalen Rose,203.2,PG,0.311,3.0,2003
430,Jalen Rose,203.2,SF,0.394,3.4,2004
431,Jalen Rose,203.2,SF-SG,0.343,2.4,2005
432,Jalen Rose,203.2,SF,0.27,2.5,2005
